VARIABLES =        it  Vd(1)  Vd(2)  Vd(3)  Vd(4)    fob  AF_ot fob_ot
                 171    55      54    58    58    10.7957       168    6.68855    
                 172    55      56    56    57    9.35862       168    6.68855    
                 173    55      58    55    58    10.2755       168    6.68855    
                 174    56      53    58    61    9.48180       168    6.68855    
                 175    53      59    55    60    10.1509       168    6.68855    
                 176    51      57    59    61    8.54858       168    6.68855    
                 177    55      58    56    61    8.21518       168    6.68855    
                 178    56      58    61    61    8.46287       168    6.68855    
                 179    55      54    56    61    8.82046       168    6.68855    
                 180    58      55    59    31    15.3863       168    6.68855    
                 181    54      54    56    59    10.2397       168    6.68855    
                 182    55      55    56    61    8.27758       168    6.68855    
                 183    57      57    59    61    9.13323       168    6.68855    
                 184    56      59    56    61    7.17747       168    6.68855    
                 185    57      59    59    61    8.27523       168    6.68855    
                 186    55      17    58    61    22.3786       168    6.68855    
                 187    51      59    59    58    8.95583       168    6.68855    
                 188    56      60    56    60    7.16872       168    6.68855    
                 189    55      57    56    61    8.63950       168    6.68855    
                 190    25      33    59    61    18.8384       168    6.68855    
                 191    54      54    60    61    8.89356       168    6.68855    
                 192    56      59    23    61    20.5230       168    6.68855    
                 193    57      59    53    58    11.7130       168    6.68855    
                 194    59      56    59    60    7.73700       168    6.68855    
                 195    56      57    58    61    8.74548       168    6.68855    
                 196    59      58    56    61    7.70160       168    6.68855    
                 197    54      56    56    60    8.69357       168    6.68855    
                 198    59      59    56    23    17.2578       168    6.68855    
                 199    59      56    56    61    7.18056       168    6.68855    
                 200    56      56    52    20    25.9250       168    6.68855    
                 201    56      56    57    61    8.37833       168    6.68855    
                 202    57      56    56    60    8.50623       168    6.68855    
                 203    55      56    55    61    8.48917       168    6.68855    
                 204    56      60    56    58    7.99656       168    6.68855    
                 205    59      59    60    61    6.77899       168    6.68855    
                 206    56      59    59    61    7.29652       168    6.68855    
                 207    55      54    60    61    8.33153       168    6.68855    
